,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
49,59.6,55.6,984.0,6.6,14.6,28.0,69.1,57.0,0.25,0,1,0,0,0,0,723110_13873,2017-09-11
50,64.9,55.8,1018.2,6.8,4.7,11.1,80.1,46.0,0.0,1,0,0,0,0,0,722180_3820,2017-01-17
51,67.9,61.1,986.6,9.0,2.7,9.9,88.0,60.1,0.31,0,1,0,0,1,0,722156_53873,2017-09-06
52,73.0,57.4,982.3,10.0,6.3,9.9,86.0,66.0,0.0,0,0,0,0,0,0,747808_63803,2017-09-30
53,78.1,74.5,1008.6,9.2,3.7,9.9,93.0,68.0,0.0,0,1,0,0,0,0,722166_93845,2017-07-23
54,59.8,57.8,984.5,8.6,6.4,27.0,68.0,55.0,1.86,0,1,0,0,1,0,722255_93842,2017-01-22
55,68.9,66.3,1003.0,8.6,6.6,21.0,77.0,60.1,0.05,1,1,0,0,1,0,723160_13870,2017-01-21
56,78.1,71.7,1001.5,10.0,2.6,14.0,89.1,73.0,0.42,0,1,0,0,1,0,722255_93842,2017-07-17
57,65.6,53.7,1004.4,10.0,10.4,15.9,68.0,59.4,0.0,0,1,0,0,0,0,747810_13857,2017-01-26
58,76.8,72.9,988.4,9.6,5.4,11.1,88.0,71.1,0.68,0,1,0,0,1,0,722195_3888,2017-07-01
59,71.4,62.3,1002.1,8.7,4.4,7.0,82.9,63.0,0.36,0,1,0,0,0,0,723160_13870,2017-06-08
60,72.9,69.7,983.1,7.8,5.3,13.0,81.0,69.8,0.87,1,1,0,0,0,0,722196_53863,2017-06-30
61,71.5,70.8,989.0,6.5,2.0,6.0,81.0,66.9,0.69,1,1,0,0,0,0,723110_13873,2017-08-31
62,59.9,56.9,970.2,6.1,2.7,13.0,73.0,54.3,0.0,1,1,0,0,1,0,722270_13864,2017-01-21
63,65.0,62.8,997.9,8.3,6.0,20.0,74.1,59.9,0.0,0,1,0,0,1,0,722175_13860,2017-01-21
64,78.8,71.3,990.8,10.0,4.0,14.0,88.0,63.0,0.0,0,1,0,0,1,0,722195_3888,2017-06-12
